model,epoch_d,rank,line,species,L_line,EW,tau,frac_epoch
A1,100.0,10,O_I_6300,metal,3.0392181669835235e+38,-3.961915471798357,0.0,0.002805994278043378
A1,100.0,11,O_I_7774,metal,1.9527108324079352e+38,-3.422494557203067,0.0,0.0018028634738809432
A1,100.0,12,C_II_4267,metal,6.893389706843734e+29,-8.193932262283532e-09,0.0,6.3644039390975056e-12
A1,100.0,13,C_II_6580,metal,1.2772077237994882e+29,-1.7492145261572035e-09,0.0,1.1791972040003931e-12
A1,100.0,14,C_III_1909,metal,6.091989871908399e+28,-1.4809498564532286e-08,0.0,5.62450202100475e-13
A1,100.0,15,O_III_5007,metal,2.0421999802621637e+19,-0.0,0.0,1.8854853927526543e-22
A1,100.0,16,He_II_1640,He,506759880.26223004,-0.0,2.8068517851862375e-30,4.6787207967011135e-33
A1,100.0,17,Ne_III_3869,metal,79674208.90992425,-0.0,0.0,7.35601598916384e-34
A1,100.0,18,He_II_4686,He,473326.3945873482,-0.0,9.898661421364211e-30,4.3700421683686305e-36
A1,100.0,19,He_II_3203,He,35715.234540053825,-0.0,1.0662327132931377e-30,3.297451457979244e-37
A1,100.0,20,He_II_10124,He,7040.768273850199,-0.0,2.4925599762930802e-29,6.500472951917609e-38
A1,100.0,21,C_III_4647,metal,0.3808061971499726,-0.0,0.0,3.5158384542917696e-42
A1,100.0,22,C_III_5696,metal,0.12428308942251476,-0.0,0.0,1.1474583877052104e-42
A1,100.0,23,C_IV_1549,metal,0.005796573988074166,-0.0,0.0,5.351755796766192e-44
A1,100.0,24,C_IV_5801,metal,1.233878251171475e-43,-0.0,0.0,1.1391927536500866e-84
A1,110.0,1,Halpha,H,5.435831330135636e+40,-15.995493062176497,6122.580013173744,0.6040098117536791
A1,110.0,2,Hbeta,H,1.8269236635786554e+40,-29.224855966336136,882.6283284024983,0.20300111447699226
A1,110.0,3,Hgamma,H,8.63621671638842e+39,7.214115251843047,295.02311950496346,0.09596249987027443
A1,110.0,4,Palpha,H,2.208920349005215e+39,411.59910337039946,2168.9278590457307,0.02454471971535989
A1,110.0,5,He_I_10830,He,2.050188996456927e+39,6.395738600288944,18296.029776691044,0.022780954643390555
A1,110.0,6,Pbeta,H,1.6535613794385785e+39,199.88991669854147,265.13939428274085,0.01837377278394928
A1,110.0,7,He_I_5876,He,8.242031198705167e+38,4.852923291515776,28.034274322456668,0.009158245373065392
A1,110.0,8,He_I_7065,He,7.287865088963422e+38,5.450415099822696,3.8128623682096627,0.008098010687099757
A1,110.0,9,He_I_6678,He,5.297351998721942e+38,2.9677927725291853,0.0019978591051183405,0.005886224919825055
A1,110.0,10,O_I_6300,metal,4.285904454903651e+38,-6.854239336106833,0.0,0.00476234118716854
A1,110.0,11,O_I_7774,metal,3.0799285121891696e+38,-6.652081467369466,0.0,0.003422304571057672
A1,110.0,12,C_II_4267,metal,1.287504968140489e+30,-1.8554658231336444e-08,0.0,1.4306287046236566e-11
A1,110.0,13,C_II_6580,metal,2.385490099459603e+29,-4.0121283465400005e-09,0.0,2.650669857850257e-12
A1,110.0,14,C_III_1909,metal,1.0630877034679534e+29,-2.990192285103154e-08,0.0,1.1812644003310296e-12
A1,110.0,15,O_III_5007,metal,3.118374917073268e+19,-0.0,0.0,3.4650248181851166e-22
A1,110.0,16,He_II_1640,He,308556766.00065017,-0.0,3.0872168483137164e-30,3.428570587062832e-33
A1,110.0,17,Ne_III_3869,metal,150029111.84718513,-0.0,0.0,1.6670689375884076e-33
A1,110.0,18,He_II_4686,He,358799.5329758957,-0.0,1.0882501045858844e-29,3.986849944526721e-36
